rank,title,doi,doi_url,publication_year,publication_date,journal_or_venue,cited_by_count,open_access,oa_status,oa_url,openalex_id,primary_topic,primary_subfield,work_type,retrieved_at_utc
48,Availability: A heuristic for judging frequency and probability,10.1016/0010-0285(73)90033-9,https://doi.org/10.1016/0010-0285(73)90033-9,1973,1973-09-01,Cognitive Psychology,9990,No,closed,,https://openalex.org/W2035782089,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
49,Applied Linear Statistical Models,10.2307/1269588,https://doi.org/10.2307/1269588,1992,1992-02-01,Technometrics,9966,No,closed,,https://openalex.org/W3146425672,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
50,"MULTIVARIABLE PROGNOSTIC MODELS: ISSUES IN DEVELOPING MODELS, EVALUATING ASSUMPTIONS AND ADEQUACY, AND MEASURING AND REDUCING ERRORS",10.1002/(sici)1097-0258(19960229)15:4<361::aid-sim168>3.0.co;2-4,https://doi.org/10.1002/(sici)1097-0258(19960229)15:4<361::aid-sim168>3.0.co;2-4,1996,1996-02-29,Statistics in Medicine,9853,No,closed,,https://openalex.org/W2129925362,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
51,Power analysis and determination of sample size for covariance structure modeling.,10.1037/1082-989x.1.2.130,https://doi.org/10.1037/1082-989x.1.2.130,1996,1996-06-01,Psychological Methods,9846,No,closed,,https://openalex.org/W1971410477,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
52,Structural Equation Models with Unobservable Variables and Measurement Error: Algebra and Statistics,10.2307/3150980,https://doi.org/10.2307/3150980,1981,1981-08-01,Journal of Marketing Research,9740,No,closed,,https://openalex.org/W1985419904,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
53,Inference and missing data,10.1093/biomet/63.3.581,https://doi.org/10.1093/biomet/63.3.581,1976,1976-01-01,Biometrika,9740,No,closed,,https://openalex.org/W2100358124,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
54,Multiple imputation using chained equations: Issues and guidance for practice,10.1002/sim.4067,https://doi.org/10.1002/sim.4067,2010,2010-11-30,Statistics in Medicine,9724,No,closed,,https://openalex.org/W2134843796,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
55,A Modified Poisson Regression Approach to Prospective Studies with Binary Data,10.1093/aje/kwh090,https://doi.org/10.1093/aje/kwh090,2004,2004-03-19,American Journal of Epidemiology,9565,No,closed,,https://openalex.org/W2112669742,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
56,<b>brms</b> : An <i>R</i> Package for Bayesian Multilevel Models Using <i>Stan</i>,10.18637/jss.v080.i01,https://doi.org/10.18637/jss.v080.i01,2017,2017-01-01,Journal of Statistical Software,9522,Yes,diamond,https://www.jstatsoft.org/index.php/jss/article/view/v080i01/v80i01.pdf,https://openalex.org/W2749069611,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
57,Estimating causal effects of treatments in randomized and nonrandomized studies.,10.1037/h0037350,https://doi.org/10.1037/h0037350,1974,1974-10-01,Journal of Educational Psychology,9517,Yes,green,http://nrs.harvard.edu/urn-3:HUL.InstRepos:3408692,https://openalex.org/W2132917208,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
58,Least angle regression,10.1214/009053604000000067,https://doi.org/10.1214/009053604000000067,2004,2004-04-01,The Annals of Statistics,9515,Yes,bronze,https://projecteuclid.org/journals/annals-of-statistics/volume-32/issue-2/Least-angle-regression/10.1214/009053604000000067.pdf,https://openalex.org/W2063978378,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
59,Biometry. The Principles and Practice of Statistics in Biological Research,10.2307/2529087,https://doi.org/10.2307/2529087,1970,1970-06-01,Biometrics,9457,No,closed,,https://openalex.org/W2317800347,Probability and Statistical Research,Statistics and Probability,article,2026-07-24T02:35:38+00:00
60,Applied Multiple Regression/Correlation Analysis for the Behavioral Sciences,10.1046/j.1467-9884.2003.t01-2-00383_4.x,https://doi.org/10.1046/j.1467-9884.2003.t01-2-00383_4.x,2003,2003-11-21,Journal of the Royal Statistical Society Series D (The Statistician),9376,No,closed,,https://openalex.org/W2056795330,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
61,Continuous Univariate Distributions.,10.2307/2291547,https://doi.org/10.2307/2291547,1995,1995-12-01,Journal of the American Statistical Association,9273,No,closed,,https://openalex.org/W1991567646,Statistical Distribution Estimation and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
62,An Introduction to Multivariate Statistical Analysis,10.2307/1391399,https://doi.org/10.2307/1391399,1986,1986-01-01,Journal of Business and Economic Statistics,9264,No,closed,,https://openalex.org/W2063698478,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
63,Variable Selection via Nonconcave Penalized Likelihood and its Oracle Properties,10.1198/016214501753382273,https://doi.org/10.1198/016214501753382273,2001,2001-12-01,Journal of the American Statistical Association,9230,No,closed,,https://openalex.org/W2074682976,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
64,A simulation study of the number of events per variable in logistic regression analysis,10.1016/s0895-4356(96)00236-3,https://doi.org/10.1016/s0895-4356(96)00236-3,1996,1996-12-01,Journal of Clinical Epidemiology,9171,Yes,hybrid,https://doi.org/10.1016/s0895-4356(96)00236-3,https://openalex.org/W2037668591,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
65,Random-Effects Models for Longitudinal Data,10.2307/2529876,https://doi.org/10.2307/2529876,1982,1982-12-01,Biometrics,8953,No,closed,,https://openalex.org/W2082246284,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
66,The Lagrange Multiplier Test and its Applications to Model Specification in Econometrics,10.2307/2297111,https://doi.org/10.2307/2297111,1980,1980-01-01,The Review of Economic Studies,8819,No,closed,,https://openalex.org/W2067402622,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
67,Design and analysis of randomized clinical trials requiring prolonged observation of each patient. II. Analysis and examples,10.1038/bjc.1977.1,https://doi.org/10.1038/bjc.1977.1,1977,1977-01-01,British Journal of Cancer,8411,Yes,green,https://www.ncbi.nlm.nih.gov/pmc/articles/2025310,https://openalex.org/W2038252730,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
68,Statistical Methods for Psychology.,10.2307/2348956,https://doi.org/10.2307/2348956,1994,1994-01-01,Journal of the Royal Statistical Society Series D (The Statistician),8383,No,closed,,https://openalex.org/W1562811233,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
69,A Test of Missing Completely at Random for Multivariate Data with Missing Values,10.1080/01621459.1988.10478722,https://doi.org/10.1080/01621459.1988.10478722,1988,1988-12-01,Journal of the American Statistical Association,8361,No,closed,,https://openalex.org/W2078965693,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
70,What is coefficient alpha? An examination of theory and applications.,10.1037/0021-9010.78.1.98,https://doi.org/10.1037/0021-9010.78.1.98,1993,1993-02-01,Journal of Applied Psychology,8103,No,closed,,https://openalex.org/W2117012826,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
71,An Efficient Method of Estimating Seemingly Unrelated Regressions and Tests for Aggregation Bias,10.1080/01621459.1962.10480664,https://doi.org/10.1080/01621459.1962.10480664,1962,1962-06-01,Journal of the American Statistical Association,8088,No,closed,,https://openalex.org/W2094514178,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
72,Nonparametric Statistics for the Behavioral Sciences.,10.2307/2342828,https://doi.org/10.2307/2342828,1957,1957-01-01,Journal of the Royal Statistical Society Series A (General),8009,No,closed,,https://openalex.org/W3144372880,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
73,Longitudinal Data Analysis for Discrete and Continuous Outcomes,10.2307/2531248,https://doi.org/10.2307/2531248,1986,1986-03-01,Biometrics,7852,No,closed,,https://openalex.org/W1978136073,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
74,Nonparametric Estimation from Incomplete Observations,10.2307/2281868,https://doi.org/10.2307/2281868,1958,1958-06-01,Journal of the American Statistical Association,7776,No,closed,,https://openalex.org/W3041047318,Statistical Distribution Estimation and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
75,Applied Logistic Regression.,10.2307/2290035,https://doi.org/10.2307/2290035,1990,1990-09-01,Journal of the American Statistical Association,7729,No,closed,,https://openalex.org/W4298222310,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
76,Confidence Limits for the Indirect Effect: Distribution of the Product and Resampling Methods,10.1207/s15327906mbr3901_4,https://doi.org/10.1207/s15327906mbr3901_4,2004,2004-01-01,Multivariate Behavioral Research,7667,Yes,bronze,https://www.tandfonline.com/doi/abs/10.1207/s15327906mbr3901_4,https://openalex.org/W2113168655,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
77,The Adaptive Lasso and Its Oracle Properties,10.1198/016214506000000735,https://doi.org/10.1198/016214506000000735,2006,2006-11-25,Journal of the American Statistical Association,7658,No,closed,,https://openalex.org/W2020925091,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
78,Fast Stable Restricted Maximum Likelihood and Marginal Likelihood Estimation of Semiparametric Generalized Linear Models,10.1111/j.1467-9868.2010.00749.x,https://doi.org/10.1111/j.1467-9868.2010.00749.x,2010,2010-09-14,Journal of the Royal Statistical Society Series B (Statistical Methodology),7644,Yes,bronze,https://academic.oup.com/jrsssb/article-pdf/73/1/3/49162718/jrsssb_73_1_3.pdf,https://openalex.org/W2119160928,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
79,Program MARK: survival estimation from populations of marked animals,10.1080/00063659909477239,https://doi.org/10.1080/00063659909477239,1999,1999-01-01,Bird Study,7580,No,closed,,https://openalex.org/W2133371793,Census and Population Estimation,Statistics and Probability,article,2026-07-24T02:35:38+00:00
80,Model Selection and Estimation in Regression with Grouped Variables,10.1111/j.1467-9868.2005.00532.x,https://doi.org/10.1111/j.1467-9868.2005.00532.x,2005,2005-12-21,Journal of the Royal Statistical Society Series B (Statistical Methodology),7487,Yes,bronze,https://academic.oup.com/jrsssb/article-pdf/68/1/49/49794691/jrsssb_68_1_49.pdf,https://openalex.org/W2138019504,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
81,<i>Stan</i> : A Probabilistic Programming Language,10.18637/jss.v076.i01,https://doi.org/10.18637/jss.v076.i01,2017,2017-01-01,Journal of Statistical Software,7442,Yes,diamond,https://www.jstatsoft.org/index.php/jss/article/view/v076i01/v76i01.pdf,https://openalex.org/W2577537660,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
82,Structural Model Evaluation and Modification: An Interval Estimation Approach,10.1207/s15327906mbr2502_4,https://doi.org/10.1207/s15327906mbr2502_4,1990,1990-04-01,Multivariate Behavioral Research,7412,No,closed,,https://openalex.org/W2163297822,Statistical Methods and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
83,Difference-in-differences with variation in treatment timing,10.1016/j.jeconom.2021.03.014,https://doi.org/10.1016/j.jeconom.2021.03.014,2021,2021-06-12,Journal of Econometrics,7377,No,closed,,https://openalex.org/W2791859701,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
84,Applied Linear Statistical Models,10.1080/00401706.1997.10485141,https://doi.org/10.1080/00401706.1997.10485141,1997,1997-08-01,Technometrics,7278,Yes,bronze,https://www.tandfonline.com/doi/abs/10.1080/00401706.1997.10485141,https://openalex.org/W2122450421,Statistical Methods and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
85,Multiple imputation for missing data in epidemiological and clinical research: potential and pitfalls,10.1136/bmj.b2393,https://doi.org/10.1136/bmj.b2393,2009,2009-06-29,BMJ,7230,Yes,hybrid,https://doi.org/10.1136/bmj.b2393,https://openalex.org/W2065974896,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
86,Generalized Linear Models,10.2307/2344614,https://doi.org/10.2307/2344614,1972,1972-01-01,Journal of the Royal Statistical Society Series A (General),7228,No,closed,,https://openalex.org/W2801490189,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
